ADDRESS,BEDROOMS
"1 Acorn Place, South Lake",4
"1 Addis Way, Wandi",3
"1 Ainsley Court, Camillo",3
"1 Albert Street, Bellevue",2
"1 Aman Place, Lockridge",4
"1 Amethyst Crescent, Mount Richon",4
"1 Ardara Lane, Hilbert",3
"1 Arnside Bend, Waikiki",4
"1 Arrochar Court, Hamersley",4
"1 Arundel Street, Bayswater",3
"1 Ashcott Gate, Butler",3
"1 Ashcroft Way, Balga",3
"1 Ashendon Boulevard, Hammond Park",4
"1 Ashtree Boulevard, Wattle Grove",4
"1 August Court, Bull Creek",3
"1 Avonlea Place, Bullsbrook",4
"1 Babbler Court, Maida Vale",4
"1 Balga Place, Koongamia",2
"1 Bamlett Street, Mount Nasura",3
"1 Banken Court, Forrestdale",4
"1 Barcroft Court, Atwell",4
"1 Bates Loop, Lockridge",3
"1 Batoni Way, Ashby",3
"1 Bayley Street, Woodbridge",3
"1 Beach Street, Bicton",5
"1 Beacon Way, Singleton",4
"1 Beenan Elbow, South Guildford",3
"1 Belfry Way, Wattle Grove",4
"1 Bell Court, Armadale",3
"1 Bellata Place, Kenwick",3
"1 Bellier Place, Hamilton Hill",4
"1 Belmont Close, Port Kennedy",4
"1 Belvedere Rise, Roleystone",4
"1 Benowa Drive, Glen Forrest",4
"1 Bianco Place, Secret Harbour",4
"1 Bignell Place, Herne Hill",3
"1 Bindoon Close, Gwelup",4
"1 Binnia Mews, Harrisdale",4
"1 Binns Court, North Fremantle",3
"1 Bishops Close, Quinns Rocks",3
"1 Bittern Close, Maida Vale",3
"1 Blato Place, Spearwood",5
"1 Bohemia Way, Parkwood",3
"1 Boncath Road, Butler",3
"1 Bonita Way, Tapping",4
"1 Boronia Court, Thornlie",3
"1 Borough Road, Baldivis",4
"1 Bourke Street, Kensington",3
"1 Bowood Cove, Kiara",4
"1 Bradbury Road, Hamilton Hill",3
"1 Bradford Street, Menora",3
"1 Bradstocks Grove, Southern River",4
"1 Bramley Way, Bibra Lake",3
"1 Brassey Street, Swanbourne",3
"1 Brentwood Way, The Vines",5
"1 Brilliant Rise, Stratton",4
"1 Briston Place, North Beach",3
"1 Bristow Street, Haynes",3
"1 Brittain Avenue, Madeley",4
"1 Brix Street, Wembley Downs",4
"1 Brixton Road, Bentley",3
"1 Bruning Road, Manning",3
"1 Buckie Court, Warwick",4
"1 Bull Place, Queens Park",4
"1 Bynder Lane, Medina",3
"1 Cadiz Way, Bullsbrook",3
"1 Cam Court, Merriwa",3
"1 Camden Boulevard, Aubin Grove",4
"1 Cameron Street, Karrinyup",4
"1 Camira Place, Gooseberry Hill",4
"1 Camrose Lane, Darch",4
"1 Canarias Way, Hillarys",3
"1 Cannon Court, Alexander Heights",3
"1 Canny Road, St James",3
"1 Carnegie Road, Bassendean",4
"1 Carroll Street, Ardross",4
"1 Caterpillar Road, Success",4
"1 Caxton Lane, Ballajura",4
"1 Centaur Circle, Woodbridge",4
"1 Cessford Close, Leda",5
"1 Challenger Avenue, Manning",3
"1 Chamberlain Circle, Bateman",4
"1 Charleston Road, Eglinton",4
"1 Chauvel Court, Kiara",4
"1 Chester Court, Orelia",3
"1 Chiddington Street, Beckenham",3
"1 Chipala Court, Edgewater",4
"1 Citrus Loop, South Lake",3
"1 Claret Ash Court, Helena Valley",4
"1 Clarke Street, East Cannington",3
"1 Clearwater Way, Singleton",4
"1 Clifford Loop, Darch",3
"1 Cliverton Court, Marmion",5
"1 Clovertree Street, Maddington",4
"1 Cobea Court, Mount Claremont",3
"1 Cockman Road, Greenwood",3
"1 Cohen Place, Beechboro",3
"1 Collier Street, Wembley",2
"1 Colmworth Way, Butler",3
"1 Colonial Mews, Edgewater",4
"1 Conical Way, Harrisdale",4
"1 Convallis Vista, The Vines",4
"1 Corbin Gate, Madeley",3
"1 Coronado Ridge, Iluka",5
"1 Corvette Close, Waikiki",4
"1 Craigie Place, Mundaring",4
"1 Crest Grove, Ballajura",4
"1 Creswick Cross, Kiara",4
"1 Criollo Place, Stratton",3
"1 Crivelli Parkway, Ashby",4
"1 Crowley Vista, Salter Point",4
"1 Curruthers Road, Mount Pleasant",2
"1 Cypress Mews, Warnbro",4
"1 Dagostino Road, Byford",4
"1 Dalkey Way, Darch",3
"1 Danzil Street, Willagee",4
"1 Datchet Turn, Bertram",3
"1 David Street, Mullaloo",5
"1 Davis Court, Woodlands",4
"1 Daybreak Loop, Wellard",4
"1 Dean Place, Lockridge",4
"1 Dean Road, Bateman",3
"1 Delphi Court, Rossmoyne",3
"1 Denton Street, Wembley",3
"1 Dermer Road, Beaconsfield",3
"1 Deverell Way, Bentley",3
"1 Dilkera Place, Quinns Rocks",3
"1 Dirk Hartog Road, Bull Creek",3
"1 Discovery Circuit, Iluka",5
"1 Disney Street, Brentwood",4
"1 Dolomite Road, Carine",5
"1 Dolphin Way, Beldon",3
"1 Doradeen Close, Hillman",3
"1 Doram Court, Swan View",3
"1 Driftwood Way, Bennett Springs",4
"1 Driver Road, Darch",4
"1 Dunbar Road, Claremont",3
"1 Durant Way, Brentwood",3
"1 Dutton Way, Singleton",3
"1 Duxford Street, Butler",4
"1 East Street, Mount Hawthorn",2
"1 Eastfield Court, Ferndale",3
"1 Easton Court, Boya",4
"1 Edelweiss Way, Beckenham",4
"1 Edgecombe Pass, Aveley",4
"1 El Porto Way, Iluka",4
"1 Elfin Grove, Warnbro",3
"1 Elvire Street, Midland",2
"1 Empress Crescent, Atwell",4
"1 Epping Court, High Wycombe",4
"1 Ericht Pass, Kinross",4
"1 Estevan Way, Ferndale",4
"1 Ethel Street, Guildford",4
"1 Etna Place, Rossmoyne",4
"1 Eudora Way, North Coogee",4
"1 Fairetha Court, Ascot",4
"1 Fairhaven Terrace, Hillarys",4
"1 Fallow Crescent, Spearwood",4
