ADDRESS,BUILD_YEAR
"1 Acorn Place, South Lake",2003.0
"1 Addis Way, Wandi",2013.0
"1 Ainsley Court, Camillo",1979.0
"1 Albert Street, Bellevue",1953.0
"1 Aman Place, Lockridge",1998.0
"1 Amethyst Crescent, Mount Richon",1991.0
"1 Ardara Lane, Hilbert",2014.0
"1 Arnside Bend, Waikiki",2013.0
"1 Arrochar Court, Hamersley",1983.0
"1 Arundel Street, Bayswater",1999.0
"1 Ashcott Gate, Butler",2003.0
"1 Ashcroft Way, Balga",2008.0
"1 Ashendon Boulevard, Hammond Park",2002.0
"1 Ashtree Boulevard, Wattle Grove",2004.0
"1 August Court, Bull Creek",1985.0
"1 Avonlea Place, Bullsbrook",1994.0
"1 Babbler Court, Maida Vale",2003.0
"1 Balga Place, Koongamia",1959.0
"1 Bamlett Street, Mount Nasura",1977.0
"1 Banken Court, Forrestdale",1981.0
"1 Barcroft Court, Atwell",2000.0
"1 Bates Loop, Lockridge",1972.0
"1 Batoni Way, Ashby",2007.0
"1 Bayley Street, Woodbridge",1920.0
"1 Beach Street, Bicton",1981.0
"1 Beacon Way, Singleton",2006.0
"1 Beenan Elbow, South Guildford",
"1 Belfry Way, Wattle Grove",2012.0
"1 Bell Court, Armadale",1985.0
"1 Bellata Place, Kenwick",1996.0
"1 Bellier Place, Hamilton Hill",1983.0
"1 Belmont Close, Port Kennedy",1999.0
"1 Belvedere Rise, Roleystone",
"1 Benowa Drive, Glen Forrest",1988.0
"1 Bianco Place, Secret Harbour",2002.0
"1 Bignell Place, Herne Hill",1974.0
"1 Bindoon Close, Gwelup",1998.0
"1 Binnia Mews, Harrisdale",2008.0
"1 Binns Court, North Fremantle",2000.0
"1 Bishops Close, Quinns Rocks",1989.0
"1 Bittern Close, Maida Vale",2002.0
"1 Blato Place, Spearwood",1996.0
"1 Bohemia Way, Parkwood",1978.0
"1 Boncath Road, Butler",2006.0
"1 Bonita Way, Tapping",2005.0
"1 Boronia Court, Thornlie",1991.0
"1 Borough Road, Baldivis",2011.0
"1 Bourke Street, Kensington",1952.0
"1 Bowood Cove, Kiara",1994.0
"1 Bradbury Road, Hamilton Hill",1960.0
"1 Bradford Street, Menora",1959.0
"1 Bradstocks Grove, Southern River",2015.0
"1 Bramley Way, Bibra Lake",2001.0
"1 Brassey Street, Swanbourne",1945.0
"1 Brentwood Way, The Vines",2004.0
"1 Brilliant Rise, Stratton",1993.0
"1 Briston Place, North Beach",2008.0
"1 Bristow Street, Haynes",2015.0
"1 Brittain Avenue, Madeley",2004.0
"1 Brix Street, Wembley Downs",2010.0
"1 Brixton Road, Bentley",1950.0
"1 Bruning Road, Manning",1995.0
"1 Buckie Court, Warwick",
"1 Bull Place, Queens Park",1998.0
"1 Bynder Lane, Medina",2014.0
"1 Cadiz Way, Bullsbrook",2016.0
