ADDRESS,CBD_DIST
"1 Acorn Place, South Lake",18300
"1 Addis Way, Wandi",26900
"1 Ainsley Court, Camillo",22600
"1 Albert Street, Bellevue",17900
"1 Aman Place, Lockridge",11200
"1 Amethyst Crescent, Mount Richon",27300
"1 Ardara Lane, Hilbert",28200
"1 Arnside Bend, Waikiki",41700
"1 Arrochar Court, Hamersley",12100
"1 Arundel Street, Bayswater",5900
"1 Ashcott Gate, Butler",36300
"1 Ashcroft Way, Balga",11500
"1 Ashendon Boulevard, Hammond Park",23100
"1 Ashtree Boulevard, Wattle Grove",13100
"1 August Court, Bull Creek",12500
"1 Avonlea Place, Bullsbrook",36700
"1 Babbler Court, Maida Vale",15300
"1 Balga Place, Koongamia",18100
"1 Bamlett Street, Mount Nasura",25400
"1 Banken Court, Forrestdale",23300
"1 Barcroft Court, Atwell",20700
"1 Bates Loop, Lockridge",11800
"1 Batoni Way, Ashby",25000
"1 Bayley Street, Woodbridge",14600
"1 Beach Street, Bicton",10800
"1 Beacon Way, Singleton",54500
"1 Beenan Elbow, South Guildford",13100
"1 Belfry Way, Wattle Grove",14100
"1 Bell Court, Armadale",27500
"1 Bellata Place, Kenwick",15500
"1 Bellier Place, Hamilton Hill",16700
"1 Belmont Close, Port Kennedy",46800
"1 Belvedere Rise, Roleystone",27300
"1 Benowa Drive, Glen Forrest",24000
"1 Bianco Place, Secret Harbour",50400
"1 Bignell Place, Herne Hill",20900
"1 Bindoon Close, Gwelup",10800
"1 Binnia Mews, Harrisdale",19000
"1 Binns Court, North Fremantle",12900
"1 Bishops Close, Quinns Rocks",34800
"1 Bittern Close, Maida Vale",14800
"1 Blato Place, Spearwood",19800
"1 Bohemia Way, Parkwood",11300
"1 Boncath Road, Butler",38000
"1 Bonita Way, Tapping",26900
"1 Boronia Court, Thornlie",16200
"1 Borough Road, Baldivis",45500
"1 Bourke Street, Kensington",4500
"1 Bowood Cove, Kiara",10900
"1 Bradbury Road, Hamilton Hill",15500
"1 Bradford Street, Menora",3500
"1 Bradstocks Grove, Southern River",18600
"1 Bramley Way, Bibra Lake",17100
"1 Brassey Street, Swanbourne",8800
"1 Brentwood Way, The Vines",26400
"1 Brilliant Rise, Stratton",19400
"1 Briston Place, North Beach",13400
"1 Bristow Street, Haynes",26200
"1 Brittain Avenue, Madeley",16000
"1 Brix Street, Wembley Downs",8700
"1 Brixton Road, Bentley",8000
"1 Bruning Road, Manning",6400
"1 Buckie Court, Warwick",13900
"1 Bull Place, Queens Park",9500
"1 Bynder Lane, Medina",31900
"1 Cadiz Way, Bullsbrook",35200
"1 Cam Court, Merriwa",34500
"1 Camden Boulevard, Aubin Grove",24100
"1 Cameron Street, Karrinyup",12000
"1 Camira Place, Gooseberry Hill",18700
"1 Camrose Lane, Darch",15400
"1 Canarias Way, Hillarys",18600
"1 Cannon Court, Alexander Heights",13500
"1 Canny Road, St James",6800
"1 Carnegie Road, Bassendean",10500
"1 Carroll Street, Ardross",8500
"1 Caterpillar Road, Success",22700
"1 Caxton Lane, Ballajura",12300
"1 Centaur Circle, Woodbridge",14700
"1 Cessford Close, Leda",35000
"1 Challenger Avenue, Manning",6800
"1 Chamberlain Circle, Bateman",11300
"1 Charleston Road, Eglinton",43700
"1 Chauvel Court, Kiara",11000
"1 Chester Court, Orelia",31900
"1 Chiddington Street, Beckenham",13300
"1 Chipala Court, Edgewater",20800
"1 Citrus Loop, South Lake",17200
"1 Claret Ash Court, Helena Valley",16600
"1 Clarke Street, East Cannington",10900
"1 Clearwater Way, Singleton",54600
"1 Clifford Loop, Darch",15100
"1 Cliverton Court, Marmion",15200
"1 Clovertree Street, Maddington",17800
"1 Cobea Court, Mount Claremont",6900
"1 Cockman Road, Greenwood",13900
"1 Cohen Place, Beechboro",12400
"1 Collier Street, Wembley",4600
"1 Colmworth Way, Butler",36700
"1 Colonial Mews, Edgewater",22100
"1 Conical Way, Harrisdale",19500
"1 Convallis Vista, The Vines",25200
"1 Corbin Gate, Madeley",16300
"1 Coronado Ridge, Iluka",26100
"1 Corvette Close, Waikiki",42500
"1 Craigie Place, Mundaring",29100
"1 Crest Grove, Ballajura",13300
"1 Creswick Cross, Kiara",10800
"1 Criollo Place, Stratton",20200
"1 Crivelli Parkway, Ashby",25100
"1 Crowley Vista, Salter Point",7400
"1 Curruthers Road, Mount Pleasant",9300
"1 Cypress Mews, Warnbro",42900
"1 Dagostino Road, Byford",32600
"1 Dalkey Way, Darch",15900
"1 Danzil Street, Willagee",12600
"1 Datchet Turn, Bertram",32000
"1 David Street, Mullaloo",22100
"1 Davis Court, Woodlands",7800
"1 Daybreak Loop, Wellard",34600
"1 Dean Place, Lockridge",11600
"1 Dean Road, Bateman",10600
"1 Delphi Court, Rossmoyne",9300
"1 Denton Street, Wembley",4200
"1 Dermer Road, Beaconsfield",15800
"1 Deverell Way, Bentley",8100
"1 Dilkera Place, Quinns Rocks",35100
"1 Dirk Hartog Road, Bull Creek",12000
"1 Discovery Circuit, Iluka",26600
"1 Disney Street, Brentwood",10100
"1 Dolomite Road, Carine",13900
"1 Dolphin Way, Beldon",22300
"1 Doradeen Close, Hillman",38300
"1 Doram Court, Swan View",19700
"1 Driftwood Way, Bennett Springs",13600
"1 Driver Road, Darch",15500
"1 Dunbar Road, Claremont",7600
"1 Durant Way, Brentwood",10400
"1 Dutton Way, Singleton",56400
"1 Duxford Street, Butler",36900
"1 East Street, Mount Hawthorn",4100
"1 Eastfield Court, Ferndale",11400
"1 Easton Court, Boya",18600
"1 Edelweiss Way, Beckenham",12300
"1 Edgecombe Pass, Aveley",21500
"1 El Porto Way, Iluka",27500
"1 Elfin Grove, Warnbro",44000
