ADDRESS,LAND_AREA
"1 Acorn Place, South Lake",600
"1 Addis Way, Wandi",351
"1 Ainsley Court, Camillo",719
"1 Albert Street, Bellevue",651
"1 Aman Place, Lockridge",466
"1 Amethyst Crescent, Mount Richon",759
"1 Ardara Lane, Hilbert",386
"1 Arnside Bend, Waikiki",468
"1 Arrochar Court, Hamersley",875
"1 Arundel Street, Bayswater",552
"1 Ashcott Gate, Butler",398
"1 Ashcroft Way, Balga",243
"1 Ashendon Boulevard, Hammond Park",704
"1 Ashtree Boulevard, Wattle Grove",614
"1 August Court, Bull Creek",706
"1 Avonlea Place, Bullsbrook",663
"1 Babbler Court, Maida Vale",568
"1 Balga Place, Koongamia",751
"1 Bamlett Street, Mount Nasura",785
"1 Banken Court, Forrestdale",782
"1 Barcroft Court, Atwell",450
"1 Bates Loop, Lockridge",421
"1 Batoni Way, Ashby",388
"1 Bayley Street, Woodbridge",550
"1 Beach Street, Bicton",855
"1 Beacon Way, Singleton",600
"1 Beenan Elbow, South Guildford",452
"1 Belfry Way, Wattle Grove",459
"1 Bell Court, Armadale",711
"1 Bellata Place, Kenwick",570
"1 Bellier Place, Hamilton Hill",808
"1 Belmont Close, Port Kennedy",550
"1 Belvedere Rise, Roleystone",2095
"1 Benowa Drive, Glen Forrest",2028
"1 Bianco Place, Secret Harbour",672
"1 Bignell Place, Herne Hill",797
"1 Bindoon Close, Gwelup",480
"1 Binnia Mews, Harrisdale",469
"1 Binns Court, North Fremantle",354
"1 Bishops Close, Quinns Rocks",781
"1 Bittern Close, Maida Vale",620
"1 Blato Place, Spearwood",592
"1 Bohemia Way, Parkwood",979
"1 Boncath Road, Butler",397
"1 Bonita Way, Tapping",641
"1 Boronia Court, Thornlie",680
"1 Borough Road, Baldivis",495
"1 Bourke Street, Kensington",774
"1 Bowood Cove, Kiara",818
"1 Bradbury Road, Hamilton Hill",775
"1 Bradford Street, Menora",917
"1 Bradstocks Grove, Southern River",447
"1 Bramley Way, Bibra Lake",358
"1 Brassey Street, Swanbourne",619
"1 Brentwood Way, The Vines",834
"1 Brilliant Rise, Stratton",561
"1 Briston Place, North Beach",372
"1 Bristow Street, Haynes",412
"1 Brittain Avenue, Madeley",541
"1 Brix Street, Wembley Downs",544
"1 Brixton Road, Bentley",295
"1 Bruning Road, Manning",578
"1 Buckie Court, Warwick",715
"1 Bull Place, Queens Park",380
"1 Bynder Lane, Medina",233
"1 Cadiz Way, Bullsbrook",350
"1 Cam Court, Merriwa",603
"1 Camden Boulevard, Aubin Grove",619
"1 Cameron Street, Karrinyup",802
"1 Camira Place, Gooseberry Hill",1940
"1 Camrose Lane, Darch",529
"1 Canarias Way, Hillarys",500
"1 Cannon Court, Alexander Heights",771
"1 Canny Road, St James",688
"1 Carnegie Road, Bassendean",1012
"1 Carroll Street, Ardross",590
"1 Caterpillar Road, Success",446
"1 Caxton Lane, Ballajura",532
"1 Centaur Circle, Woodbridge",454
"1 Cessford Close, Leda",642
"1 Challenger Avenue, Manning",449
"1 Chamberlain Circle, Bateman",727
"1 Charleston Road, Eglinton",432
"1 Chauvel Court, Kiara",543
"1 Chester Court, Orelia",806
"1 Chiddington Street, Beckenham",953
"1 Chipala Court, Edgewater",697
"1 Citrus Loop, South Lake",402
"1 Claret Ash Court, Helena Valley",1012
"1 Clarke Street, East Cannington",218
"1 Clearwater Way, Singleton",550
"1 Clifford Loop, Darch",289
"1 Cliverton Court, Marmion",766
"1 Clovertree Street, Maddington",1062
"1 Cobea Court, Mount Claremont",367
"1 Cockman Road, Greenwood",698
"1 Cohen Place, Beechboro",782
"1 Collier Street, Wembley",635
"1 Colmworth Way, Butler",555
"1 Colonial Mews, Edgewater",758
"1 Conical Way, Harrisdale",578
"1 Convallis Vista, The Vines",510
"1 Corbin Gate, Madeley",618
"1 Coronado Ridge, Iluka",911
"1 Corvette Close, Waikiki",747
"1 Craigie Place, Mundaring",1869
"1 Crest Grove, Ballajura",803
"1 Creswick Cross, Kiara",545
"1 Criollo Place, Stratton",514
"1 Crivelli Parkway, Ashby",401
"1 Crowley Vista, Salter Point",527
"1 Curruthers Road, Mount Pleasant",1100
"1 Cypress Mews, Warnbro",580
"1 Dagostino Road, Byford",694
"1 Dalkey Way, Darch",327
"1 Danzil Street, Willagee",450
"1 Datchet Turn, Bertram",271
"1 David Street, Mullaloo",810
"1 Davis Court, Woodlands",701
"1 Daybreak Loop, Wellard",465
"1 Dean Place, Lockridge",666
"1 Dean Road, Bateman",807
"1 Delphi Court, Rossmoyne",1133
"1 Denton Street, Wembley",328
"1 Dermer Road, Beaconsfield",1319
"1 Deverell Way, Bentley",327
"1 Dilkera Place, Quinns Rocks",646
"1 Dirk Hartog Road, Bull Creek",483
"1 Discovery Circuit, Iluka",770
"1 Disney Street, Brentwood",434
"1 Dolomite Road, Carine",755
"1 Dolphin Way, Beldon",683
"1 Doradeen Close, Hillman",761
"1 Doram Court, Swan View",686
"1 Driftwood Way, Bennett Springs",582
"1 Driver Road, Darch",653
"1 Dunbar Road, Claremont",613
"1 Durant Way, Brentwood",419
"1 Dutton Way, Singleton",913
"1 Duxford Street, Butler",673
"1 East Street, Mount Hawthorn",376
"1 Eastfield Court, Ferndale",955
"1 Easton Court, Boya",1010
"1 Edelweiss Way, Beckenham",538
"1 Edgecombe Pass, Aveley",741
"1 El Porto Way, Iluka",623
"1 Elfin Grove, Warnbro",759
"1 Elvire Street, Midland",927
"1 Empress Crescent, Atwell",701
"1 Epping Court, High Wycombe",500
"1 Ericht Pass, Kinross",674
"1 Estevan Way, Ferndale",700
"1 Ethel Street, Guildford",380
"1 Etna Place, Rossmoyne",520
"1 Eudora Way, North Coogee",495
"1 Fairetha Court, Ascot",528
"1 Fairhaven Terrace, Hillarys",451
"1 Fallow Crescent, Spearwood",427
"1 Fantail Drive, Bibra Lake",735
"1 Farrington Street, Warnbro",872
"1 Federal Street, Osborne Park",337
"1 Felpham Court, Success",502
"1 Ficarra Way, Sinagra",588
"1 First Avenue, Woodbridge",607
"1 Fischer Road, Darlington",2152
"1 Flemington Way, Redcliffe",428
"1 Flint Close, Pearsall",641
"1 Florey Place, Huntingdale",700
"1 Floribunda Gate, Dayton",414
"1 Forrest Court, Kiara",720
"1 Fort Street, Morley",605
"1 Fortuna View, Iluka",696
"1 Fortune Street, Balcatta",322
"1 Fourth Avenue, Rossmoyne",1029
"1 Fran Court, Merriwa",653
"1 Freedman Road, Menora",792
"1 Gaffin Way, Kwinana Town Centre",203
"1 Gali Lane, City Beach",440
"1 Galilee Way, Baldivis",749
"1 Gamay Court, The Vines",734
"1 Gannett Street, Bateman",807
"1 Genesta Place, Two Rocks",819
"1 Georges Close, Kallaroo",773
"1 Gerygone Pass, Tapping",420
"1 Ghost Gum Boulevard, Banksia Grove",373
"1 Gianatti Ramble, East Cannington",462
"1 Gidgee Cove, Kenwick",416
"1 Gilchrist Avenue, Bibra Lake",700
"1 Gillespie Court, Lockridge",351
"1 Gillon Road, Noranda",752
"1 Giudice Way, Yangebup",641
"1 Glasson Way, Darch",596
"1 Glebe Close, Mindarie",726
"1 Glenelg Street, Mount Hawthorn",325
"1 Gloucester Road, Kalamunda",997
"1 Gloucester Street, Swanbourne",500
"1 Gold Lane, Iluka",638
"1 Gordon Place, Huntingdale",675
"1 Gorman Place, Calista",559
"1 Graduate Place, Marangaroo",613
"1 Grahame Street, Mount Helena",1635
"1 Grant Street, Duncraig",576
"1 Gray Road, Haynes",2000
"1 Green Street, Kewdale",688
"1 Greygum Rise, Kenwick",515
"1 Grid Court, Beldon",685
"1 Grimsay Road, Ardross",380
"1 Grove End Ridge, Mount Claremont",1055
"1 Grove Street, Shoalwater",825
"1 Guy Place, Melville",873
"1 Hadlow Court, Leeming",803
"1 Halleendale Road, Walliston",1386
"1 Hamlyn Glen, Kiara",975
"1 Hanrahan Loop, Kardinya",701
"1 Hansen Vista, Landsdale",556
"1 Hardey Road, Serpentine",2000
"1 Harrier Way, Beldon",461
"1 Hartle Lane, Brookdale",471
"1 Hartley Street, Coolbellup",613
"1 Hartwell Parade, Jandakot",815
"1 Harwood Street, Hilton",537
"1 Hazlett Close, South Lake",703
"1 Henderson Road, Stoneville",2190
"1 Hennessy Drive, Ashby",570
"1 Henrietta Court, Coogee",691
"1 Henty Court, Mirrabooka",723
"1 Herbert Road, Subiaco",241
"1 Heslop Road, Lesmurdie",1000
"1 Hewlett Turn, Tapping",594
"1 Hilliger Turn, Jane Brook",430
"1 Hilltop Close, Mahogany Creek",1799
"1 Hilltop Place, Edgewater",736
"1 Hillwater Promenade, Bennett Springs",631
"1 Hitek Court, Merriwa",599
"1 Holmesdale Road, Woodbridge",510
"1 Holywell Street, Middle Swan",500
"1 Honister Close, Balga",714
"1 Hood Street, Forrestfield",700
"1 Hulbert Street, South Fremantle",455
"1 Huntington Road, Coogee",706
"1 Hydra Close, Rockingham",725
"1 Hynes Road, Dalkeith",1072
"1 INGODA LINK, Baldivis",719
"1 Ingot Lane, Harrisdale",446
"1 Iona Place, Cannington",527
"1 Irma Way, Butler",568
"1 Ironcap Grove, Wandi",439
"1 Ivythorne Grove, Kiara",534
"1 Jacolite Street, Darch",597
"1 Jade Grove, Edgewater",723
"1 Jaffa Close, Seville Grove",647
"1 Jamaican Road, Safety Bay",688
"1 Jameson Street, Mosman Park",1140
"1 Jarrah Lane, Mount Claremont",309
"1 Jaywick Close, Safety Bay",565
"1 Jecks Street, Maida Vale",561
"1 Jeffrey Loop, Brookdale",330
"1 Jib Court, Ocean Reef",848
"1 Jindabyne Street, Hilbert",475
"1 Johnson Avenue, Guildford",357
"1 Jolimont Terrace, Jolimont",466
"1 Josbury Corner, Carramar",702
"1 Jura Court, Duncraig",739
"1 Jurien Close, Warnbro",714
"1 Kadi Court, Marangaroo",486
"1 Kalara Road, Koongamia",692
"1 Kalara Way, Koongamia",729
"1 Kalbarri Pass, Jane Brook",641
"1 Kangaroo Entrance, Stratton",539
"1 Kartner Road, Tapping",652
"1 Kennack Vista, Atwell",723
"1 Kensington Street, Bellevue",837
"1 Kent Street, Viveash",850
"1 Kevin Street, Stoneville",2024
"1 Kilmurray Elbow, Huntingdale",600
"1 Kinkuna Way, City Beach",778
"1 Kirkcolm Way, Warwick",702
"1 Kirke Cove, Merriwa",462
"1 Kirkstall Way, Sawyers Valley",1833
"1 Knaphill Heights, Mirrabooka",626
"1 Kookaburra Terrace, Ballajura",704
"1 Kooralbyn Way, Connolly",827
"1 Kutcharo Crescent, Joondalup",729
"1 Kyby Place, Carramar",611
