ADDRESS,LATITUDE
"1 Acorn Place, South Lake",-32.1159
"1 Addis Way, Wandi",-32.19347028
"1 Ainsley Court, Camillo",-32.12057813
"1 Albert Street, Bellevue",-31.90054675
"1 Aman Place, Lockridge",-31.885790000000004
"1 Amethyst Crescent, Mount Richon",-32.1538014
"1 Ardara Lane, Hilbert",-32.17997786
"1 Arnside Bend, Waikiki",-32.31766224
"1 Arrochar Court, Hamersley",-31.84775987
"1 Arundel Street, Bayswater",-31.91788
"1 Ashcott Gate, Butler",-31.65428
"1 Ashcroft Way, Balga",-31.84964681
"1 Ashendon Boulevard, Hammond Park",-32.15959
"1 Ashtree Boulevard, Wattle Grove",-32.00294817
"1 August Court, Bull Creek",-32.06458
"1 Avonlea Place, Bullsbrook",-31.66068818
"1 Babbler Court, Maida Vale",-31.95242
"1 Balga Place, Koongamia",-31.904090000000004
"1 Bamlett Street, Mount Nasura",-32.13247
"1 Banken Court, Forrestdale",-32.14885
"1 Barcroft Court, Atwell",-32.137679999999996
"1 Bates Loop, Lockridge",-31.88355668
"1 Batoni Way, Ashby",-31.7328966
"1 Bayley Street, Woodbridge",-31.88948
"1 Beach Street, Bicton",-32.02366
"1 Beacon Way, Singleton",-32.434584
"1 Beenan Elbow, South Guildford",-31.906979999999997
"1 Belfry Way, Wattle Grove",-32.00415385
"1 Bell Court, Armadale",-32.164115
"1 Bellata Place, Kenwick",-32.03406
"1 Bellier Place, Hamilton Hill",-32.08948
"1 Belmont Close, Port Kennedy",-32.362590000000004
"1 Belvedere Rise, Roleystone",-32.11535746
"1 Benowa Drive, Glen Forrest",-31.910390000000003
"1 Bianco Place, Secret Harbour",-32.39686
"1 Bignell Place, Herne Hill",-31.82521
"1 Bindoon Close, Gwelup",-31.869940000000003
"1 Binnia Mews, Harrisdale",-32.11598945
"1 Binns Court, North Fremantle",-32.02689
"1 Bishops Close, Quinns Rocks",-31.66895
"1 Bittern Close, Maida Vale",-31.95549
"1 Blato Place, Spearwood",-32.11658806
"1 Bohemia Way, Parkwood",-32.0459
"1 Boncath Road, Butler",-31.638689000000003
"1 Bonita Way, Tapping",-31.71607737
"1 Boronia Court, Thornlie",-32.07705
"1 Borough Road, Baldivis",-32.36170962
