ADDRESS,LONGITUDE
"1 Acorn Place, South Lake",115.84245
"1 Addis Way, Wandi",115.85955349999999
"1 Ainsley Court, Camillo",115.993579
"1 Albert Street, Bellevue",116.0380088
"1 Aman Place, Lockridge",115.94778000000001
"1 Amethyst Crescent, Mount Richon",116.0236578
"1 Ardara Lane, Hilbert",115.9886473
"1 Arnside Bend, Waikiki",115.7619682
"1 Arrochar Court, Hamersley",115.82270049999998
"1 Arundel Street, Bayswater",115.90705
"1 Ashcott Gate, Butler",115.7022
"1 Ashcroft Way, Balga",115.84631399999999
"1 Ashendon Boulevard, Hammond Park",115.84948
"1 Ashtree Boulevard, Wattle Grove",115.9836459
"1 August Court, Bull Creek",115.86046
"1 Avonlea Place, Bullsbrook",116.0407159
"1 Babbler Court, Maida Vale",116.0207
"1 Balga Place, Koongamia",116.04213
"1 Bamlett Street, Mount Nasura",116.0242
"1 Banken Court, Forrestdale",115.94308000000001
"1 Barcroft Court, Atwell",115.86697
"1 Bates Loop, Lockridge",115.95423190000001
"1 Batoni Way, Ashby",115.7996371
"1 Bayley Street, Woodbridge",115.99427
"1 Beach Street, Bicton",115.78188999999999
"1 Beacon Way, Singleton",115.758448
"1 Beenan Elbow, South Guildford",115.98698
"1 Belfry Way, Wattle Grove",115.9949594
"1 Bell Court, Armadale",116.00839270000002
"1 Bellata Place, Kenwick",115.99136999999999
"1 Bellier Place, Hamilton Hill",115.78811
"1 Belmont Close, Port Kennedy",115.7517
"1 Belvedere Rise, Roleystone",116.07486180000001
"1 Benowa Drive, Glen Forrest",116.10841
"1 Bianco Place, Secret Harbour",115.75636999999999
"1 Bignell Place, Herne Hill",116.02121000000001
"1 Bindoon Close, Gwelup",115.79768
"1 Binnia Mews, Harrisdale",115.91732730000001
"1 Binns Court, North Fremantle",115.75381999999999
"1 Bishops Close, Quinns Rocks",115.70455
"1 Bittern Close, Maida Vale",116.01601000000001
"1 Blato Place, Spearwood",115.77908629999999
"1 Bohemia Way, Parkwood",115.90518999999999
"1 Boncath Road, Butler",115.70020600000001
"1 Bonita Way, Tapping",115.7997715
"1 Boronia Court, Thornlie",115.94632
"1 Borough Road, Baldivis",115.81366909999998
"1 Bourke Street, Kensington",115.88136999999999
"1 Bowood Cove, Kiara",115.93878000000001
"1 Bradbury Road, Hamilton Hill",115.78611000000001
"1 Bradford Street, Menora",115.86556999999999
"1 Bradstocks Grove, Southern River",115.9525676
"1 Bramley Way, Bibra Lake",115.82631
"1 Brassey Street, Swanbourne",115.76985
"1 Brentwood Way, The Vines",116.00693000000001
"1 Brilliant Rise, Stratton",116.03838
"1 Briston Place, North Beach",115.76636780000001
"1 Bristow Street, Haynes",115.98808170000001
"1 Brittain Avenue, Madeley",115.8241
"1 Brix Street, Wembley Downs",115.7766387
"1 Brixton Road, Bentley",115.9157517
"1 Bruning Road, Manning",115.87138
