ADDRESS,NEAREST_SCH
"1 Acorn Place, South Lake",LAKELAND SENIOR HIGH SCHOOL
"1 Addis Way, Wandi",ATWELL COLLEGE
"1 Ainsley Court, Camillo",KELMSCOTT SENIOR HIGH SCHOOL
"1 Albert Street, Bellevue",SWAN VIEW SENIOR HIGH SCHOOL
"1 Aman Place, Lockridge",KIARA COLLEGE
"1 Amethyst Crescent, Mount Richon",ARMADALE SENIOR HIGH SCHOOL
"1 Ardara Lane, Hilbert",DALE CHRISTIAN SCHOOL
"1 Arnside Bend, Waikiki",SOUTH COAST BAPTIST COLLEGE
"1 Arrochar Court, Hamersley",WARWICK SENIOR HIGH SCHOOL
"1 Arundel Street, Bayswater",CHISHOLM CATHOLIC COLLEGE
"1 Ashcott Gate, Butler",BUTLER COLLEGE
"1 Ashcroft Way, Balga",BALGA SENIOR HIGH SCHOOL
"1 Ashendon Boulevard, Hammond Park",ATWELL COLLEGE
"1 Ashtree Boulevard, Wattle Grove",REHOBOTH CHRISTIAN COLLEGE
"1 August Court, Bull Creek",LEEMING SENIOR HIGH SCHOOL
"1 Avonlea Place, Bullsbrook",HOLY CROSS COLLEGE
"1 Babbler Court, Maida Vale",DARLING RANGE SPORTS COLLEGE
"1 Balga Place, Koongamia",SWAN VIEW SENIOR HIGH SCHOOL
"1 Bamlett Street, Mount Nasura",SOWILO COMMUNITY HIGH SCHOOL
"1 Banken Court, Forrestdale",CAREY BAPTIST COLLEGE
"1 Barcroft Court, Atwell",ATWELL COLLEGE
"1 Bates Loop, Lockridge",KIARA COLLEGE
"1 Batoni Way, Ashby",WANNEROO SECONDARY COLLEGE
"1 Bayley Street, Woodbridge",GOVERNOR STIRLING SENIOR HIGH SCHOOL
"1 Beach Street, Bicton",SANTA MARIA COLLEGE
"1 Beacon Way, Singleton",COMET BAY COLLEGE
"1 Beenan Elbow, South Guildford",GUILDFORD GRAMMAR SCHOOL
"1 Belfry Way, Wattle Grove",HERITAGE COLLEGE PERTH
"1 Bell Court, Armadale",ARMADALE SENIOR HIGH SCHOOL
"1 Bellata Place, Kenwick",REHOBOTH CHRISTIAN COLLEGE
"1 Bellier Place, Hamilton Hill",PORT SCHOOL
"1 Belmont Close, Port Kennedy",WARNBRO COMMUNITY HIGH SCHOOL
"1 Belvedere Rise, Roleystone",KELMSCOTT SENIOR HIGH SCHOOL
"1 Benowa Drive, Glen Forrest",HELENA COLLEGE
"1 Bianco Place, Secret Harbour",COMET BAY COLLEGE
"1 Bignell Place, Herne Hill",SWAN CHRISTIAN COLLEGE
"1 Bindoon Close, Gwelup",BALCATTA SENIOR HIGH SCHOOL
"1 Binnia Mews, Harrisdale",CAREY BAPTIST COLLEGE
"1 Binns Court, North Fremantle",IONA PRESENTATION COLLEGE
"1 Bishops Close, Quinns Rocks",PETER MOYES ANGLICAN COMMUNITY SCHOOL
"1 Bittern Close, Maida Vale",DARLING RANGE SPORTS COLLEGE
"1 Blato Place, Spearwood",PORT SCHOOL
"1 Bohemia Way, Parkwood",LYNWOOD SENIOR HIGH SCHOOL
"1 Boncath Road, Butler",BUTLER COLLEGE
"1 Bonita Way, Tapping",JOSEPH BANKS SECONDARY COLLEGE
"1 Boronia Court, Thornlie",THORNLIE SENIOR HIGH SCHOOL
"1 Borough Road, Baldivis",TRANBY COLLEGE
"1 Bourke Street, Kensington",KENT STREET SENIOR HIGH SCHOOL
"1 Bowood Cove, Kiara",KIARA COLLEGE
"1 Bradbury Road, Hamilton Hill",SETON CATHOLIC COLLEGE
"1 Bradford Street, Menora",MOUNT LAWLEY SENIOR HIGH SCHOOL
