ADDRESS,NEAREST_STN
"1 Acorn Place, South Lake",Cockburn Central Station
"1 Addis Way, Wandi",Kwinana Station
"1 Ainsley Court, Camillo",Challis Station
"1 Albert Street, Bellevue",Midland Station
"1 Aman Place, Lockridge",Bassendean Station
"1 Amethyst Crescent, Mount Richon",Armadale Station
"1 Ardara Lane, Hilbert",Armadale Station
"1 Arnside Bend, Waikiki",Warnbro Station
"1 Arrochar Court, Hamersley",Warwick Station
"1 Arundel Street, Bayswater",Bayswater Station
"1 Ashcott Gate, Butler",Butler Station
"1 Ashcroft Way, Balga",Warwick Station
"1 Ashendon Boulevard, Hammond Park",Cockburn Central Station
"1 Ashtree Boulevard, Wattle Grove",Madding
"1 August Court, Bull Creek",Murdoch Station
"1 Avonlea Place, Bullsbrook",Midland Station
"1 Babbler Court, Maida Vale",Midland Station
"1 Balga Place, Koongamia",Midland Station
"1 Bamlett Street, Mount Nasura",Challis Station
"1 Banken Court, Forrestdale",Armadale Station
"1 Barcroft Court, Atwell",Cockburn Central Station
"1 Bates Loop, Lockridge",Success Hill Station
"1 Batoni Way, Ashby",Joondalup Station
"1 Bayley Street, Woodbridge",Woodbridge Station
"1 Beach Street, Bicton",North Fremantle Station
"1 Beacon Way, Singleton",Mandurah Station
"1 Beenan Elbow, South Guildford",East Guildford Station
"1 Belfry Way, Wattle Grove",Madding
"1 Bell Court, Armadale",Armadale Station
"1 Bellata Place, Kenwick",Madding
"1 Bellier Place, Hamilton Hill",Fremantle Station
"1 Belmont Close, Port Kennedy",Warnbro Station
"1 Belvedere Rise, Roleystone",Kelmscott Station
"1 Benowa Drive, Glen Forrest",Midland Station
"1 Bianco Place, Secret Harbour",Warnbro Station
"1 Bignell Place, Herne Hill",Midland Station
"1 Bindoon Close, Gwelup",Warwick Station
"1 Binnia Mews, Harrisdale",Cockburn Central Station
"1 Binns Court, North Fremantle",North Fremantle Station
"1 Bishops Close, Quinns Rocks",Butler Station
"1 Bittern Close, Maida Vale",Midland Station
"1 Blato Place, Spearwood",Cockburn Central Station
"1 Bohemia Way, Parkwood",Thornlie Station
"1 Boncath Road, Butler",Butler Station
"1 Bonita Way, Tapping",Currambine Station
"1 Boronia Court, Thornlie",Thornlie Station
"1 Borough Road, Baldivis",Warnbro Station
"1 Bourke Street, Kensington",Oats Street Station
"1 Bowood Cove, Kiara",Bassendean Station
"1 Bradbury Road, Hamilton Hill",Fremantle Station
"1 Bradford Street, Menora",Mount Lawley Station
"1 Bradstocks Grove, Southern River",Thornlie Station
"1 Bramley Way, Bibra Lake",Cockburn Central Station
"1 Brassey Street, Swanbourne",Swanbourne Station
"1 Brentwood Way, The Vines",Midland Station
"1 Brilliant Rise, Stratton",Midland Station
"1 Briston Place, North Beach",Warwick Station
"1 Bristow Street, Haynes",Armadale Station
"1 Brittain Avenue, Madeley",Greenwood Station
"1 Brix Street, Wembley Downs",Glendalough Station
"1 Brixton Road, Bentley",Welshpool Station
"1 Bruning Road, Manning",Canning Bridge Station
"1 Buckie Court, Warwick",Warwick Station
"1 Bull Place, Queens Park",Queens Park Station
"1 Bynder Lane, Medina",Kwinana Station
"1 Cadiz Way, Bullsbrook",Midland Station
"1 Cam Court, Merriwa",Butler Station
"1 Camden Boulevard, Aubin Grove",Cockburn Central Station
"1 Cameron Street, Karrinyup",Warwick Station
"1 Camira Place, Gooseberry Hill",Midland Station
"1 Camrose Lane, Darch",Greenwood Station
"1 Canarias Way, Hillarys",Greenwood Station
"1 Cannon Court, Alexander Heights",Warwick Station
"1 Canny Road, St James",Welshpool Station
"1 Carnegie Road, Bassendean",Success Hill Station
"1 Carroll Street, Ardross",Canning Bridge Station
"1 Caterpillar Road, Success",Cockburn Central Station
"1 Caxton Lane, Ballajura",Bayswater Station
"1 Centaur Circle, Woodbridge",Midland Station
"1 Cessford Close, Leda",Wellard Station
"1 Challenger Avenue, Manning",Canning Bridge Station
"1 Chamberlain Circle, Bateman",Bull Creek Station
"1 Charleston Road, Eglinton",Butler Station
"1 Chauvel Court, Kiara",Bassendean Station
"1 Chester Court, Orelia",Kwinana Station
"1 Chiddington Street, Beckenham",Kenwick Station
"1 Chipala Court, Edgewater",Edgewater Station
"1 Citrus Loop, South Lake",Cockburn Central Station
"1 Claret Ash Court, Helena Valley",Midland Station
"1 Clarke Street, East Cannington",Canning
"1 Clearwater Way, Singleton",Mandurah Station
"1 Clifford Loop, Darch",Greenwood Station
"1 Cliverton Court, Marmion",Warwick Station
"1 Clovertree Street, Maddington",Gosnells Station
"1 Cobea Court, Mount Claremont",Loch Street Station
"1 Cockman Road, Greenwood",Warwick Station
"1 Cohen Place, Beechboro",Success Hill Station
"1 Collier Street, Wembley",Glendalough Station
"1 Colmworth Way, Butler",Butler Station
"1 Colonial Mews, Edgewater",Edgewater Station
"1 Conical Way, Harrisdale",Cockburn Central Station
"1 Convallis Vista, The Vines",Midland Station
"1 Corbin Gate, Madeley",Greenwood Station
"1 Coronado Ridge, Iluka",Joondalup Station
"1 Corvette Close, Waikiki",Warnbro Station
"1 Craigie Place, Mundaring",Midland Station
"1 Crest Grove, Ballajura",Maylands Station
"1 Creswick Cross, Kiara",Bassendean Station
"1 Criollo Place, Stratton",Midland Station
"1 Crivelli Parkway, Ashby",Joondalup Station
"1 Crowley Vista, Salter Point",Canning Bridge Station
"1 Curruthers Road, Mount Pleasant",Bull Creek Station
