ADDRESS,NEAREST_STN_DIST
"1 Acorn Place, South Lake",1800
"1 Addis Way, Wandi",4900
"1 Ainsley Court, Camillo",1900
"1 Albert Street, Bellevue",3600
"1 Aman Place, Lockridge",2000
"1 Amethyst Crescent, Mount Richon",1000
"1 Ardara Lane, Hilbert",3700
"1 Arnside Bend, Waikiki",1100
"1 Arrochar Court, Hamersley",2500
"1 Arundel Street, Bayswater",508
"1 Ashcott Gate, Butler",2100
"1 Ashcroft Way, Balga",4800
"1 Ashendon Boulevard, Hammond Park",3900
"1 Ashtree Boulevard, Wattle Grove",5100
"1 August Court, Bull Creek",961
"1 Avonlea Place, Bullsbrook",26000
"1 Babbler Court, Maida Vale",7000
"1 Balga Place, Koongamia",4100
"1 Bamlett Street, Mount Nasura",1300
"1 Banken Court, Forrestdale",6600
"1 Barcroft Court, Atwell",1600
"1 Bates Loop, Lockridge",1900
"1 Batoni Way, Ashby",3300
"1 Bayley Street, Woodbridge",275
"1 Beach Street, Bicton",2900
"1 Beacon Way, Singleton",10400
"1 Beenan Elbow, South Guildford",1400
"1 Belfry Way, Wattle Grove",5100
"1 Bell Court, Armadale",1300
"1 Bellata Place, Kenwick",1900
"1 Bellier Place, Hamilton Hill",5800
"1 Belmont Close, Port Kennedy",4300
"1 Belvedere Rise, Roleystone",5800
"1 Benowa Drive, Glen Forrest",10400
"1 Bianco Place, Secret Harbour",7900
"1 Bignell Place, Herne Hill",7600
"1 Bindoon Close, Gwelup",2800
"1 Binnia Mews, Harrisdale",5700
"1 Binns Court, North Fremantle",387
"1 Bishops Close, Quinns Rocks",3800
"1 Bittern Close, Maida Vale",7300
"1 Blato Place, Spearwood",7500
"1 Bohemia Way, Parkwood",4400
"1 Boncath Road, Butler",372
"1 Bonita Way, Tapping",4800
"1 Boronia Court, Thornlie",3400
"1 Borough Road, Baldivis",5600
"1 Bourke Street, Kensington",3200
"1 Bowood Cove, Kiara",2600
"1 Bradbury Road, Hamilton Hill",4800
"1 Bradford Street, Menora",2100
"1 Bradstocks Grove, Southern River",5800
"1 Bramley Way, Bibra Lake",3900
"1 Brassey Street, Swanbourne",658
"1 Brentwood Way, The Vines",15600
"1 Brilliant Rise, Stratton",4400
"1 Briston Place, North Beach",3400
"1 Bristow Street, Haynes",2400
"1 Brittain Avenue, Madeley",3900
"1 Brix Street, Wembley Downs",4400
"1 Brixton Road, Bentley",1300
"1 Bruning Road, Manning",1400
"1 Buckie Court, Warwick",627
