ADDRESS,PRICE
"1 Acorn Place, South Lake",565000
"1 Addis Way, Wandi",365000
"1 Ainsley Court, Camillo",287000
"1 Albert Street, Bellevue",255000
"1 Aman Place, Lockridge",325000
"1 Amethyst Crescent, Mount Richon",409000
"1 Ardara Lane, Hilbert",400000
"1 Arnside Bend, Waikiki",370000
"1 Arrochar Court, Hamersley",565000
"1 Arundel Street, Bayswater",685000
"1 Ashcott Gate, Butler",367500
"1 Ashcroft Way, Balga",300000
"1 Ashendon Boulevard, Hammond Park",535000
"1 Ashtree Boulevard, Wattle Grove",540000
"1 August Court, Bull Creek",685000
"1 Avonlea Place, Bullsbrook",350000
"1 Babbler Court, Maida Vale",570000
"1 Balga Place, Koongamia",318000
"1 Bamlett Street, Mount Nasura",379000
"1 Banken Court, Forrestdale",387500
"1 Barcroft Court, Atwell",465000
"1 Bates Loop, Lockridge",325000
"1 Batoni Way, Ashby",515000
"1 Bayley Street, Woodbridge",610000
"1 Beach Street, Bicton",1950000
"1 Beacon Way, Singleton",420000
"1 Beenan Elbow, South Guildford",347500
"1 Belfry Way, Wattle Grove",492000
"1 Bell Court, Armadale",201000
"1 Bellata Place, Kenwick",275000
"1 Bellier Place, Hamilton Hill",410000
"1 Belmont Close, Port Kennedy",315000
"1 Belvedere Rise, Roleystone",795000
"1 Benowa Drive, Glen Forrest",600000
"1 Bianco Place, Secret Harbour",400000
"1 Bignell Place, Herne Hill",350000
"1 Bindoon Close, Gwelup",835000
"1 Binnia Mews, Harrisdale",482000
"1 Binns Court, North Fremantle",1260000
"1 Bishops Close, Quinns Rocks",405000
"1 Bittern Close, Maida Vale",465000
"1 Blato Place, Spearwood",560000
"1 Bohemia Way, Parkwood",380000
"1 Boncath Road, Butler",360000
"1 Bonita Way, Tapping",540000
"1 Boronia Court, Thornlie",420000
"1 Borough Road, Baldivis",330000
"1 Bourke Street, Kensington",705000
"1 Bowood Cove, Kiara",615000
"1 Bradbury Road, Hamilton Hill",565000
"1 Bradford Street, Menora",850000
"1 Bradstocks Grove, Southern River",780000
"1 Bramley Way, Bibra Lake",520000
"1 Brassey Street, Swanbourne",1100000
"1 Brentwood Way, The Vines",590000
"1 Brilliant Rise, Stratton",312000
"1 Briston Place, North Beach",900000
"1 Bristow Street, Haynes",177000
"1 Brittain Avenue, Madeley",580000
"1 Brix Street, Wembley Downs",1310000
"1 Brixton Road, Bentley",470000
"1 Bruning Road, Manning",717000
"1 Buckie Court, Warwick",650000
"1 Bull Place, Queens Park",387000
"1 Bynder Lane, Medina",330000
"1 Cadiz Way, Bullsbrook",380000
"1 Caladenia Way, Koongamia",85000
"1 Cam Court, Merriwa",345000
"1 Camden Boulevard, Aubin Grove",528000
"1 Cameron Street, Karrinyup",1350000
"1 Camira Place, Gooseberry Hill",735000
"1 Camrose Lane, Darch",442500
"1 Canarias Way, Hillarys",1015000
"1 Cannon Court, Alexander Heights",530000
"1 Canny Road, St James",515000
