ADDRESS,SUBURB
"1 Acorn Place, South Lake",South Lake
"1 Addis Way, Wandi",Wandi
"1 Ainsley Court, Camillo",Camillo
"1 Albert Street, Bellevue",Bellevue
"1 Aman Place, Lockridge",Lockridge
"1 Amethyst Crescent, Mount Richon",Mount Richon
"1 Ardara Lane, Hilbert",Hilbert
"1 Arnside Bend, Waikiki",Waikiki
"1 Arrochar Court, Hamersley",Hamersley
"1 Arundel Street, Bayswater",Bayswater
"1 Ashcott Gate, Butler",Butler
"1 Ashcroft Way, Balga",Balga
"1 Ashendon Boulevard, Hammond Park",Hammond Park
"1 Ashtree Boulevard, Wattle Grove",Wattle Grove
"1 August Court, Bull Creek",Bull Creek
"1 Avonlea Place, Bullsbrook",Bullsbrook
"1 Babbler Court, Maida Vale",Maida Vale
"1 Balga Place, Koongamia",Koongamia
"1 Bamlett Street, Mount Nasura",Mount Nasura
"1 Banken Court, Forrestdale",Forrestdale
"1 Barcroft Court, Atwell",Atwell
"1 Bates Loop, Lockridge",Lockridge
"1 Batoni Way, Ashby",Ashby
"1 Bayley Street, Woodbridge",Woodbridge
"1 Beach Street, Bicton",Bicton
"1 Beacon Way, Singleton",Singleton
"1 Beenan Elbow, South Guildford",South Guildford
"1 Belfry Way, Wattle Grove",Wattle Grove
"1 Bell Court, Armadale",Armadale
"1 Bellata Place, Kenwick",Kenwick
"1 Bellier Place, Hamilton Hill",Hamilton Hill
"1 Belmont Close, Port Kennedy",Port Kennedy
"1 Belvedere Rise, Roleystone",Roleystone
"1 Benowa Drive, Glen Forrest",Glen Forrest
"1 Bianco Place, Secret Harbour",Secret Harbour
"1 Bignell Place, Herne Hill",Herne Hill
"1 Bindoon Close, Gwelup",Gwelup
"1 Binnia Mews, Harrisdale",Harrisdale
"1 Binns Court, North Fremantle",North Fremantle
"1 Bishops Close, Quinns Rocks",Quinns Rocks
"1 Bittern Close, Maida Vale",Maida Vale
"1 Blato Place, Spearwood",Spearwood
"1 Bohemia Way, Parkwood",Parkwood
"1 Boncath Road, Butler",Butler
"1 Bonita Way, Tapping",Tapping
"1 Boronia Court, Thornlie",Thornlie
"1 Borough Road, Baldivis",Baldivis
"1 Bourke Street, Kensington",Kensington
"1 Bowood Cove, Kiara",Kiara
"1 Bradbury Road, Hamilton Hill",Hamilton Hill
"1 Bradford Street, Menora",Menora
"1 Bradstocks Grove, Southern River",Southern River
"1 Bramley Way, Bibra Lake",Bibra Lake
"1 Brassey Street, Swanbourne",Swanbourne
"1 Brentwood Way, The Vines",The Vines
"1 Brilliant Rise, Stratton",Stratton
"1 Briston Place, North Beach",North Beach
"1 Bristow Street, Haynes",Haynes
"1 Brittain Avenue, Madeley",Madeley
"1 Brix Street, Wembley Downs",Wembley Downs
"1 Brixton Road, Bentley",Bentley
"1 Bruning Road, Manning",Manning
"1 Buckie Court, Warwick",Warwick
"1 Bull Place, Queens Park",Queens Park
"1 Bynder Lane, Medina",Medina
"1 Cadiz Way, Bullsbrook",Bullsbrook
"1 Cam Court, Merriwa",Merriwa
"1 Camden Boulevard, Aubin Grove",Aubin Grove
"1 Cameron Street, Karrinyup",Karrinyup
"1 Camira Place, Gooseberry Hill",Gooseberry Hill
"1 Camrose Lane, Darch",Darch
"1 Canarias Way, Hillarys",Hillarys
"1 Cannon Court, Alexander Heights",Alexander Heights
"1 Canny Road, St James",St James
"1 Carnegie Road, Bassendean",Bassendean
