ADDRESS,YEAR_SOLD
"1 Acorn Place, South Lake",2018
"1 Addis Way, Wandi",2019
"1 Ainsley Court, Camillo",2015
"1 Albert Street, Bellevue",2018
"1 Aman Place, Lockridge",2016
"1 Amethyst Crescent, Mount Richon",2013
"1 Ardara Lane, Hilbert",2016
"1 Arnside Bend, Waikiki",2019
"1 Arrochar Court, Hamersley",2020
"1 Arundel Street, Bayswater",2019
"1 Ashcott Gate, Butler",2018
"1 Ashcroft Way, Balga",2019
"1 Ashendon Boulevard, Hammond Park",2019
"1 Ashtree Boulevard, Wattle Grove",2018
"1 August Court, Bull Creek",2017
"1 Avonlea Place, Bullsbrook",2017
"1 Babbler Court, Maida Vale",2020
"1 Balga Place, Koongamia",2013
"1 Bamlett Street, Mount Nasura",2017
"1 Banken Court, Forrestdale",2017
"1 Barcroft Court, Atwell",2017
"1 Bates Loop, Lockridge",2014
"1 Batoni Way, Ashby",2014
"1 Bayley Street, Woodbridge",2013
"1 Beach Street, Bicton",2018
"1 Beacon Way, Singleton",2015
"1 Beenan Elbow, South Guildford",2018
"1 Belfry Way, Wattle Grove",2017
"1 Bell Court, Armadale",2019
"1 Bellata Place, Kenwick",2018
"1 Bellier Place, Hamilton Hill",2019
"1 Belmont Close, Port Kennedy",2020
"1 Belvedere Rise, Roleystone",2017
"1 Benowa Drive, Glen Forrest",2015
"1 Bianco Place, Secret Harbour",2019
"1 Bignell Place, Herne Hill",2013
"1 Bindoon Close, Gwelup",2016
"1 Binnia Mews, Harrisdale",2020
"1 Binns Court, North Fremantle",2016
"1 Bishops Close, Quinns Rocks",2019
"1 Bittern Close, Maida Vale",2019
"1 Blato Place, Spearwood",2018
"1 Bohemia Way, Parkwood",2016
"1 Boncath Road, Butler",2020
"1 Bonita Way, Tapping",2018
"1 Boronia Court, Thornlie",2020
"1 Borough Road, Baldivis",2020
"1 Bourke Street, Kensington",2017
"1 Bowood Cove, Kiara",2016
"1 Bradbury Road, Hamilton Hill",2020
"1 Bradford Street, Menora",2013
"1 Bradstocks Grove, Southern River",2018
"1 Bramley Way, Bibra Lake",2018
"1 Brassey Street, Swanbourne",2016
"1 Brentwood Way, The Vines",2020
"1 Brilliant Rise, Stratton",2018
"1 Briston Place, North Beach",2016
"1 Bristow Street, Haynes",2013
"1 Brittain Avenue, Madeley",2017
"1 Brix Street, Wembley Downs",2019
"1 Brixton Road, Bentley",2018
"1 Bruning Road, Manning",2018
"1 Buckie Court, Warwick",2014
"1 Bull Place, Queens Park",2018
"1 Bynder Lane, Medina",2015
"1 Cadiz Way, Bullsbrook",2016
"1 Cam Court, Merriwa",2017
"1 Camden Boulevard, Aubin Grove",2018
"1 Cameron Street, Karrinyup",2018
"1 Camira Place, Gooseberry Hill",2015
"1 Camrose Lane, Darch",2019
"1 Canarias Way, Hillarys",2018
"1 Cannon Court, Alexander Heights",2016
"1 Canny Road, St James",2019
"1 Carnegie Road, Bassendean",2018
"1 Carroll Street, Ardross",2018
"1 Caterpillar Road, Success",2018
"1 Caxton Lane, Ballajura",2019
"1 Centaur Circle, Woodbridge",2008
"1 Cessford Close, Leda",2015
"1 Challenger Avenue, Manning",2019
"1 Chamberlain Circle, Bateman",2018
"1 Charleston Road, Eglinton",2016
"1 Chauvel Court, Kiara",2012
"1 Chester Court, Orelia",2017
"1 Chiddington Street, Beckenham",2017
"1 Chipala Court, Edgewater",2016
"1 Citrus Loop, South Lake",2020
"1 Claret Ash Court, Helena Valley",2015
"1 Clarke Street, East Cannington",2016
"1 Clearwater Way, Singleton",2020
"1 Clifford Loop, Darch",2016
"1 Cliverton Court, Marmion",2013
"1 Clovertree Street, Maddington",2017
"1 Cobea Court, Mount Claremont",2017
"1 Cockman Road, Greenwood",2018
"1 Cohen Place, Beechboro",2018
"1 Collier Street, Wembley",2019
"1 Colmworth Way, Butler",2019
"1 Colonial Mews, Edgewater",2017
"1 Conical Way, Harrisdale",2017
"1 Convallis Vista, The Vines",2020
"1 Corbin Gate, Madeley",2020
"1 Coronado Ridge, Iluka",2017
"1 Corvette Close, Waikiki",2019
"1 Craigie Place, Mundaring",2018
"1 Crest Grove, Ballajura",2019
"1 Creswick Cross, Kiara",2009
"1 Criollo Place, Stratton",2014
"1 Crivelli Parkway, Ashby",2020
"1 Crowley Vista, Salter Point",2014
"1 Curruthers Road, Mount Pleasant",2018
"1 Cypress Mews, Warnbro",2018
"1 Dagostino Road, Byford",2020
"1 Dalkey Way, Darch",2016
"1 Danzil Street, Willagee",2019
"1 Datchet Turn, Bertram",2020
"1 David Street, Mullaloo",2018
"1 Davis Court, Woodlands",2017
