"address","build_year","land_area","price"
"1 Acorn Place, South Lake",2003,600,565000
"1 Addis Way, Wandi",2013,351,365000
"1 Ainsley Court, Camillo",1979,719,287000
"1 Albert Street, Bellevue",1953,651,255000
"1 Aman Place, Lockridge",1998,466,325000
"1 Amethyst Crescent, Mount Richon",1991,759,409000
"1 Ardara Lane, Hilbert",2014,386,400000
"1 Arnside Bend, Waikiki",2013,468,370000
"1 Arrochar Court, Hamersley",1983,875,565000
"1 Arundel Street, Bayswater",1999,552,685000
"1 Ashcott Gate, Butler",2003,398,367500
"1 Ashcroft Way, Balga",2008,243,300000
"1 Ashendon Boulevard, Hammond Park",2002,704,535000
"1 Ashtree Boulevard, Wattle Grove",2004,614,540000
"1 August Court, Bull Creek",1985,706,685000
"1 Avonlea Place, Bullsbrook",1994,663,350000
"1 Babbler Court, Maida Vale",2003,568,570000
"1 Balga Place, Koongamia",1959,751,318000
"1 Bamlett Street, Mount Nasura",1977,785,379000
"1 Banken Court, Forrestdale",1981,782,387500
"1 Barcroft Court, Atwell",2000,450,465000
"1 Bates Loop, Lockridge",1972,421,325000
"1 Batoni Way, Ashby",2007,388,515000
"1 Bayley Street, Woodbridge",1920,550,610000
"1 Beach Street, Bicton",1981,855,1950000
"1 Beacon Way, Singleton",2006,600,420000
"1 Belfry Way, Wattle Grove",2012,459,492000
"1 Bell Court, Armadale",1985,711,201000
"1 Bellata Place, Kenwick",1996,570,275000
"1 Bellier Place, Hamilton Hill",1983,808,410000
"1 Belmont Close, Port Kennedy",1999,550,315000
"1 Benowa Drive, Glen Forrest",1988,2028,600000
"1 Bianco Place, Secret Harbour",2002,672,400000
"1 Bignell Place, Herne Hill",1974,797,350000
"1 Bindoon Close, Gwelup",1998,480,835000
"1 Binnia Mews, Harrisdale",2008,469,482000
"1 Binns Court, North Fremantle",2000,354,1260000
"1 Bishops Close, Quinns Rocks",1989,781,405000
"1 Bittern Close, Maida Vale",2002,620,465000
"1 Blato Place, Spearwood",1996,592,560000
"1 Bohemia Way, Parkwood",1978,979,380000
"1 Boncath Road, Butler",2006,397,360000
"1 Bonita Way, Tapping",2005,641,540000
"1 Boronia Court, Thornlie",1991,680,420000
"1 Borough Road, Baldivis",2011,495,330000
"1 Bourke Street, Kensington",1952,774,705000
"1 Bowood Cove, Kiara",1994,818,615000
"1 Bradbury Road, Hamilton Hill",1960,775,565000
"1 Bradford Street, Menora",1959,917,850000
"1 Bradstocks Grove, Southern River",2015,447,780000
"1 Bramley Way, Bibra Lake",2001,358,520000
"1 Brassey Street, Swanbourne",1945,619,1100000
"1 Brentwood Way, The Vines",2004,834,590000
"1 Brilliant Rise, Stratton",1993,561,312000
"1 Briston Place, North Beach",2008,372,900000
"1 Bristow Street, Haynes",2015,412,177000
"1 Brittain Avenue, Madeley",2004,541,580000
"1 Brix Street, Wembley Downs",2010,544,1310000
"1 Brixton Road, Bentley",1950,295,470000
"1 Bruning Road, Manning",1995,578,717000
"1 Bull Place, Queens Park",1998,380,387000
"1 Bynder Lane, Medina",2014,233,330000
"1 Cadiz Way, Bullsbrook",2016,350,380000
"1 Cam Court, Merriwa",1992,603,345000
"1 Camden Boulevard, Aubin Grove",2008,619,528000
"1 Cameron Street, Karrinyup",2012,802,1350000
"1 Camira Place, Gooseberry Hill",1982,1940,735000
"1 Camrose Lane, Darch",2005,529,442500
"1 Canarias Way, Hillarys",2003,500,1015000
"1 Cannon Court, Alexander Heights",1985,771,530000
"1 Canny Road, St James",1958,688,515000
"1 Carnegie Road, Bassendean",2005,1012,1100000
"1 Carroll Street, Ardross",2005,590,1265000
"1 Caterpillar Road, Success",2008,446,472500
"1 Cessford Close, Leda",1994,642,380000
"1 Challenger Avenue, Manning",2001,449,590000
"1 Chamberlain Circle, Bateman",1985,727,835000
"1 Charleston Road, Eglinton",2015,432,495000
"1 Chauvel Court, Kiara",1994,543,390000
"1 Chester Court, Orelia",1970,806,280000
"1 Chiddington Street, Beckenham",1974,953,355000
"1 Chipala Court, Edgewater",1987,697,465000
"1 Claret Ash Court, Helena Valley",1994,1012,685000
"1 Clarke Street, East Cannington",2006,218,360000
"1 Clearwater Way, Singleton",2006,550,320000
"1 Clifford Loop, Darch",2008,289,492000
"1 Cliverton Court, Marmion",1990,766,974000
"1 Clovertree Street, Maddington",1988,1062,435000
"1 Cobea Court, Mount Claremont",1995,367,900000
"1 Cockman Road, Greenwood",1975,698,405000
"1 Cohen Place, Beechboro",1978,782,290000
"1 Collier Street, Wembley",1950,635,1160000
"1 Colmworth Way, Butler",2004,555,415000
"1 Colonial Mews, Edgewater",1984,758,525000
"1 Conical Way, Harrisdale",2012,578,629000
"1 Convallis Vista, The Vines",2007,510,600000
"1 Corbin Gate, Madeley",2005,618,427000
"1 Coronado Ridge, Iluka",1995,911,1015000
"1 Corvette Close, Waikiki",1991,747,445000
"1 Craigie Place, Mundaring",1985,1869,610000
"1 Crest Grove, Ballajura",1988,803,465000
"1 Creswick Cross, Kiara",1993,545,454000
"1 Criollo Place, Stratton",2000,514,380000
"1 Crivelli Parkway, Ashby",2005,401,382000
"1 Crowley Vista, Salter Point",2001,527,1150000
"1 Curruthers Road, Mount Pleasant",1958,1100,2200000
"1 Cypress Mews, Warnbro",2006,580,375000
"1 Dagostino Road, Byford",2010,694,495000
"1 Dalkey Way, Darch",2008,327,445000
"1 Danzil Street, Willagee",2002,450,515000
"1 Datchet Turn, Bertram",2011,271,270000
"1 David Street, Mullaloo",1977,810,780000
"1 Davis Court, Woodlands",1980,701,1280000
"1 Daybreak Loop, Wellard",2015,465,410000
"1 Dean Place, Lockridge",1983,666,425000
"1 Dean Road, Bateman",1968,807,599900
"1 Delphi Court, Rossmoyne",1974,1133,1330000
"1 Denton Street, Wembley",1990,328,732000
"1 Deverell Way, Bentley",2012,327,465000
"1 Dilkera Place, Quinns Rocks",1995,646,380000
"1 Discovery Circuit, Iluka",2002,770,1300000
"1 Disney Street, Brentwood",1990,434,710250
"1 Dolomite Road, Carine",1986,755,835000
"1 Dolphin Way, Beldon",1978,683,400000
"1 Doradeen Close, Hillman",1988,761,275000
"1 Doram Court, Swan View",1985,686,335000
"1 Driftwood Way, Bennett Springs",2001,582,400000
"1 Driver Road, Darch",2004,653,532000
"1 Durant Way, Brentwood",2006,419,820000
"1 Dutton Way, Singleton",1983,913,385000
"1 Duxford Street, Butler",2002,673,427000
"1 East Street, Mount Hawthorn",1962,376,660000
"1 Eastfield Court, Ferndale",2017,955,250000
"1 Easton Court, Boya",1993,1010,508000
"1 Edelweiss Way, Beckenham",1994,538,415000
"1 Edgecombe Pass, Aveley",2008,741,550000
"1 El Porto Way, Iluka",2007,623,935000
"1 Elfin Grove, Warnbro",1994,759,380000
"1 Elvire Street, Midland",1930,927,349000
"1 Empress Crescent, Atwell",1998,701,470000
"1 Epping Court, High Wycombe",2007,500,475000
"1 Estevan Way, Ferndale",1975,700,490000
"1 Ethel Street, Guildford",1900,380,715000
"1 Etna Place, Rossmoyne",2009,520,1100000
"1 Eudora Way, North Coogee",2009,495,1130000
"1 Fairetha Court, Ascot",1997,528,720000
"1 Fairhaven Terrace, Hillarys",2003,451,1075000
"1 Fallow Crescent, Spearwood",1994,427,475000
"1 Fantail Drive, Bibra Lake",1984,735,545000
"1 Farrington Street, Warnbro",1965,872,317500
"1 Federal Street, Osborne Park",2002,337,465000
"1 Felpham Court, Success",2004,502,449000
"1 First Avenue, Woodbridge",1969,607,525000
"1 Fischer Road, Darlington",1982,2152,900000
"1 Flemington Way, Redcliffe",2000,428,375000
"1 Flint Close, Pearsall",2002,641,522000
"1 Florey Place, Huntingdale",1986,700,464000
"1 Forrest Court, Kiara",1989,720,490000
"1 Fort Street, Morley",2006,605,560000
"1 Fortuna View, Iluka",2010,696,1160000
"1 Fortune Street, Balcatta",1997,322,460000
"1 Fourth Avenue, Rossmoyne",1989,1029,872000
"1 Fran Court, Merriwa",2002,653,335000
"1 Freedman Road, Menora",1969,792,925000
"1 Gaffin Way, Kwinana Town Centre",2015,203,330000
"1 Gali Lane, City Beach",2012,440,1930000
"1 Galilee Way, Baldivis",2009,749,547000
"1 Gamay Court, The Vines",2001,734,533000
"1 Gannett Street, Bateman",1969,807,460000
"1 Genesta Place, Two Rocks",1986,819,405000
"1 Georges Close, Kallaroo",1989,773,1075000
"1 Gerygone Pass, Tapping",2007,420,465000
"1 Ghost Gum Boulevard, Banksia Grove",2004,373,335000
"1 Gianatti Ramble, East Cannington",2008,462,745000
"1 Gidgee Cove, Kenwick",2015,416,385000
"1 Gilchrist Avenue, Bibra Lake",1980,700,480000
"1 Gillespie Court, Lockridge",2000,351,330000
"1 Gillon Road, Noranda",1990,752,520000
"1 Giudice Way, Yangebup",2009,641,885000
"1 Glasson Way, Darch",2007,596,610000
"1 Glebe Close, Mindarie",2001,726,830000
"1 Gloucester Road, Kalamunda",1970,997,485000
"1 Gold Lane, Iluka",2005,638,769000
"1 Gordon Place, Huntingdale",1985,675,410000
"1 Gorman Place, Calista",2006,559,475000
"1 Graduate Place, Marangaroo",1993,613,385000
"1 Grahame Street, Mount Helena",1975,1635,385000
"1 Grant Street, Duncraig",2012,576,730000
"1 Gray Road, Haynes",1993,2000,720000
"1 Green Street, Kewdale",1986,688,505000
"1 Greygum Rise, Kenwick",1998,515,362500
"1 Grid Court, Beldon",1983,685,487000
"1 Grimsay Road, Ardross",1970,380,600000
"1 Grove End Ridge, Mount Claremont",2000,1055,1675000
"1 Grove Street, Shoalwater",1980,825,315000
"1 Hadlow Court, Leeming",1980,803,428000
"1 Halleendale Road, Walliston",1995,1386,620000
"1 Hamlyn Glen, Kiara",1993,975,405000
"1 Hanrahan Loop, Kardinya",1982,701,643000
"1 Hansen Vista, Landsdale",2006,556,538000
"1 Hardey Road, Serpentine",1995,2000,375000
"1 Harrier Way, Beldon",1985,461,395000
"1 Hartle Lane, Brookdale",2014,471,311850
"1 Hartley Street, Coolbellup",1969,613,499000
"1 Hartwell Parade, Jandakot",2002,815,620000
"1 Harwood Street, Hilton",1953,537,560003
"1 Hazlett Close, South Lake",1985,703,481000
"1 Hennessy Drive, Ashby",2005,570,430000
"1 Henrietta Court, Coogee",1998,691,727000
"1 Henty Court, Mirrabooka",1985,723,450000
"1 Heslop Road, Lesmurdie",2000,1000,705000
"1 Hewlett Turn, Tapping",2002,594,470000
"1 Hilliger Turn, Jane Brook",2015,430,515000
"1 Hilltop Close, Mahogany Creek",1987,1799,272500
"1 Hilltop Place, Edgewater",1987,736,492500
"1 Hitek Court, Merriwa",1990,599,280000
"1 Holmesdale Road, Woodbridge",1935,510,575000
"1 Holywell Street, Middle Swan",2012,500,495000
"1 Honister Close, Balga",1984,714,290000
"1 Hood Street, Forrestfield",1984,700,365000
"1 Hulbert Street, South Fremantle",1965,455,1200000
"1 Huntington Road, Coogee",1986,706,910000
"1 Hydra Close, Rockingham",1970,725,340000
"1 Hynes Road, Dalkeith",1985,1072,1800000
"1 INGODA LINK, Baldivis",2013,719,650000
"1 Ingot Lane, Harrisdale",2008,446,492000
"1 Iona Place, Cannington",1996,527,543800
"1 Irma Way, Butler",2006,568,360000
"1 Ironcap Grove, Wandi",2015,439,305000
"1 Ivythorne Grove, Kiara",1992,534,210000
"1 Jacolite Street, Darch",2006,597,530000
"1 Jade Grove, Edgewater",1982,723,480000
"1 Jaffa Close, Seville Grove",1994,647,375000
"1 Jamaican Road, Safety Bay",1980,688,372500
"1 Jameson Street, Mosman Park",1989,1140,980000
"1 Jarrah Lane, Mount Claremont",2002,309,1210000
"1 Jaywick Close, Safety Bay",1997,565,435000
"1 Jecks Street, Maida Vale",2003,561,508000
"1 Jeffrey Loop, Brookdale",2014,330,315000
"1 Jib Court, Ocean Reef",1989,848,740000
"1 Johnson Avenue, Guildford",1900,357,561000
"1 Jolimont Terrace, Jolimont",1920,466,1100000
"1 Jura Court, Duncraig",1980,739,575000
"1 Jurien Close, Warnbro",1993,714,301000
"1 Kadi Court, Marangaroo",1990,486,380000
"1 Kalara Road, Koongamia",1955,692,350000
"1 Kalara Way, Koongamia",2003,729,172000
"1 Kalbarri Pass, Jane Brook",2015,641,725000
"1 Kangaroo Entrance, Stratton",1994,539,255000
"1 Kartner Road, Tapping",2006,652,500000
"1 Kensington Street, Bellevue",1999,837,520000
"1 Kent Street, Viveash",1969,850,300000
"1 Kevin Street, Stoneville",1980,2024,533000
"1 Kilmurray Elbow, Huntingdale",2002,600,415000
"1 Kinkuna Way, City Beach",1974,778,1645000
"1 Kirkcolm Way, Warwick",1982,702,655000
"1 Kirke Cove, Merriwa",2002,462,307000
"1 Kirkstall Way, Sawyers Valley",1981,1833,405000
"1 Knaphill Heights, Mirrabooka",1989,626,458000
"1 Kookaburra Terrace, Ballajura",1990,704,335000
"1 Kutcharo Crescent, Joondalup",1989,729,451000
"1 Kyby Place, Carramar",2006,611,719000
"1 Kyle Place, Swan View",1979,2002,726000
"1 Lambeth Mews, Mount Claremont",2000,1047,2150000
"1 Lanark Street, Menora",1930,660,875000
"1 Langham Street, Nedlands",2012,540,1200000
"1 Lark Mews, Ballajura",1989,812,550000
"1 Lauder Place, Kinross",1994,628,525000
"1 Laughton Way, Leeming",2010,329,577000
"1 Lee Street, Forrestfield",1981,363,305000
"1 Lena Street, Beckenham",1984,771,385000
"1 Lennoxtown Road, Duncraig",1977,701,650000
"1 Letchworth Centre Avenue, Salter Point",2003,1012,1000000
"1 Librizzi Parade, Sinagra",2008,654,530000
"1 Lilypond Court, Ascot",1995,279,555000
"1 Linnett Brace, Darch",2009,545,550000
"1 Lintonmarc Drive, Redcliffe",2000,496,555000
"1 Litchfield Crescent, Carramar",2005,677,565000
"1 Little Lefroy Lane, South Fremantle",2000,270,950000
"1 Love Street, Myaree",2001,422,625000
"1 Luhrs Court, Mundaring",1996,2000,675000
"1 Luke Place, Ascot",2003,462,580000
"1 Lundy Cove, Kiara",1992,455,365000
"1 Macdonald Road, Applecross",1966,401,990000
"1 Mackie Place, Midvale",1998,404,375000
"1 Maidos Street, Ashfield",1997,450,358000
"1 MAJORELLE WAY, Eglinton",2015,510,279500
"1 Mal Bay Court, Mindarie",1998,712,660000
"1 Maley Court, Ashfield",1996,600,435000
"1 Malibu Entrance, Iluka",2003,639,1500000
"1 Malone Mews, Clarkson",1996,758,299000
"1 Manhattan Concourse, Hilbert",2016,302,445000
"1 Mannaw Place, Hillman",1976,709,315000
"1 Mannix Pass, Queens Park",2002,441,500000
"1 Marconi Street, Morley",2008,801,650000
"1 Margaret Road, Secret Harbour",2007,605,700000
"1 Marich Cove, Atwell",1994,652,442000
"1 Maritana Road, Kallaroo",1978,407,470000
"1 Marker Road, Ocean Reef",1988,860,940250
"1 Markham Place, Bentley",1986,504,375000
"1 Maroma Loop, Burns Beach",2012,501,672500
"1 Martin Avenue, Rivervale",1966,363,400000
"1 Mayhill Place, Craigie",1978,684,445000
"1 McBain Court, Langford",1970,703,468000
"1 Mcdermott Road, Kwinana Town Centre",2015,206,145700
"1 McKenna Glen, Mount Claremont",1992,476,1050000
"1 McKenzie Corner, Bertram",2005,646,470000
"1 Meadow Place, Hocking",1989,680,360000
"1 Meares Avenue, Parmelia",2013,711,220000
"1 Mears Way, Hilbert",2015,332,276000
"1 Melissa Street, Duncraig",1983,716,950000
"1 Melita Drive, Helena Valley",2013,276,464000
"1 Melrose Crescent, Menora",1955,1317,1365000
"1 Mercer Place, Thornlie",1975,675,300000
"1 Merlot Court, The Vines",1995,706,455000
"1 Milina Street, Hillman",1977,780,278000
"1 Mingara Avenue, Harrisdale",2009,753,1200000
"1 Mission Place, Cooloongup",1992,802,430000
"1 Moira Mews, Stratton",1995,568,365000
"1 Monarch Way, Wattle Grove",2012,454,486000
"1 Montana Crescent, Dayton",2014,254,430000
"1 Montrose Way, Nollamara",1992,893,300000
"1 Moody Glen, Palmyra",1998,534,740000
"1 Moseley Drive, The Vines",2008,1638,859000
"1 Mosman Loop, Success",2010,545,540000
"1 Mottee Road, Bateman",1982,757,778000
"1 Mudalla Way, Koongamia",1959,675,385000
"1 Mulberry Lane, Mirrabooka",1988,728,410000
"1 Mulgrave Loop, Mindarie",2004,711,610000
"1 Myhill Mews, Leda",1993,568,215000
"1 Namoi Street, Hammond Park",2006,642,595000
"1 Nardie Place, Hillman",1976,682,320000
"1 Narla Place, Koongamia",1959,751,262000
"1 New Ross Lane, Waterford",2001,606,1050000
"1 Newman Place, Kenwick",1975,670,370000
"1 Newmarket Retreat, Currambine",1998,734,540000
"1 newquay Street, Harrisdale",2010,451,462500
"1 Niagara Cove, Bentley",1996,439,438000
"1 Nicholas Crescent, Hilton",1951,900,467500
"1 Nobilis Street, Beeliar",2015,477,500000
"1 Norfolk Rise, Mount Claremont",1992,969,1900000
"1 Northerly Avenue, Ascot",2011,304,854000
"1 Nyjong Street, Kenwick",1999,431,350000
"1 Oakwood Court, Beechboro",1991,594,475000
"1 Oban Court, Duncraig",1980,703,1115000
"1 Odell Court, Carine",1977,712,800000
"1 Odell Street, Secret Harbour",2005,572,385000
"1 Offord Street, Armadale",1977,694,176500
"1 Ollis Street, Safety Bay",1972,931,360000
"1 O'Mara Boulevard, Iluka",2004,355,625000
"1 Orange Valley Road, Kalamunda",1930,1070,582500
"1 Otway Street, Swanbourne",1930,405,2302500
"1 Palos Court, Sorrento",1985,607,680000
"1 Parish Lane, Churchlands",2003,550,1400000
"1 Park Lane, Kardinya",1990,549,610000
"1 Parkwood Avenue, Woodvale",1992,409,554500
"1 Peaceful Close, Marangaroo",1998,689,420000
"1 Pearson Crescent, Bull Creek",1976,691,950000
"1 Pedalstone Drive, Southern River",2008,769,705000
"1 Peet Crescent, Trigg",1974,527,780000
"1 Pelion Court, Middle Swan",2010,484,505000
"1 Penn Lane, Hammond Park",2003,604,515000
"1 Penson Street, Singleton",1990,783,345000
"1 Pera Mews, Beldon",1987,718,460000
"1 Peter Way, Rossmoyne",2013,950,1778000
"1 Piermont Avenue, Burns Beach",2008,550,900000
"1 Pixie Place, Two Rocks",2011,536,395000
"1 Plover Way, Stirling",1980,641,625000
"1 Poinsettia Grove, South Lake",1994,700,499000
"1 Point Link, Alkimos",2011,631,595000
"1 Polglase Fairway, Clarkson",1998,662,379000
"1 Portland Way, Ridgewood",2007,653,520000
"1 Portsea Gardens, Jandakot",1998,593,912000
"1 Presto Close, Quinns Rocks",2001,607,475000
"1 Printer Street, Dianella",1970,684,560000
"1 Pursuit Close, Middle Swan",1992,615,407000
"1 Purvis Street, Hamilton Hill",1960,839,470000
"1 Quail Place, Langford",1985,800,440000
"1 Quenda Close, Beeliar",2000,545,520000
"1 Ragtime Court, Ascot",1997,250,440000
"1 Ramose Close, Heathridge",1979,712,415000
"1 Reflection Mews, Safety Bay",2005,741,419000
"1 Regatta Way, Alkimos",2015,370,307000
"1 Regent Court, Cockburn Central",2001,476,515000
"1 Reginald Street, Queens Park",2013,634,670000
"1 Reilly Street, Singleton",1958,964,330000
"1 Reinagle Street, Ashby",2006,606,539000
"1 Repens Way, Banksia Grove",2006,549,370000
"1 Reserve Street, Bicton",2000,565,1820000
"1 Retchford Way, Queens Park",2010,463,560000
"1 Reuben Street, Beaconsfield",1960,256,590000
"1 Riber Court, Carine",1981,741,925000
"1 Richards Crescent, Craigie",1986,741,440000
"1 Rigoll Court, Mundijong",1986,873,400000
"1 Ringarooma Way, Willetton",1984,764,670000
"1 Ringmer Way, Westminster",2007,773,380000
"1 River Bed Pass, Wilson",1994,722,765000
"1 Riverdale Road, Helena Valley",1994,626,415000
"1 Robert Street, Dalkeith",1964,809,1700000
"1 Robyn Street, Morley",1964,742,520000
"1 Romani Court, Lockridge",1999,418,400000
"1 Rosalind Court, Rossmoyne",1970,877,1110000
"1 Rose Bay Court, Kallaroo",1992,868,1150000
"1 ROSTRATUS Link, Dayton",2015,395,480000
"1 Rothsay Crescent, Menora",1952,745,915000
"1 Rowe Place, Noranda",2016,801,620000
"1 Royal Melbourne Avenue, Connolly",1990,774,705000
"1 Royce Grove, Booragoon",1982,786,932000
"1 Ruby Avenue, Langford",2000,749,482000
"1 Ruby Court, Mount Richon",1987,1606,589000
"1 Rudge Place, Lockridge",1972,475,320000
"1 Salisbury Road, Beechboro",1975,539,350000
"1 Salmond Way, Bull Creek",1990,775,802000
"1 Salvin Road, Gwelup",2011,302,820000
"1 Samos Place, Mindarie",1995,729,790000
"1 Sandalford Drive, Beldon",1983,690,504000
"1 Sandringham Street, Trigg",1972,817,1051000
"1 Scarcliffe Way, Carine",1988,980,1125000
"1 Scott Street, Kewdale",2009,331,472000
"1 Seaflight Court, Heathridge",1997,904,560000
"1 Searle Road, Ardross",2006,527,1390000
"1 Sedge Link, Atwell",2004,558,520000
"1 Sellenger Avenue, Samson",1981,710,462000
"1 Seton Lane, Kinross",1999,725,550000
"1 Shackleton Street, Bassendean",1923,535,600000
"1 Sheppard Way, Marmion",1980,708,1480000
"1 Shiralee Bend, Carramar",2006,631,650000
"1 Shoal Court, Coogee",1990,885,710000
"1 Short Street, North Beach",1973,552,912000
"1 Silky Lane, Wandi",2016,437,303000
"1 Simon Place, City Beach",1968,993,1450000
"1 Sistina Road, Ashby",2006,598,450000
"1 Skye Lane, Ellenbrook",2008,386,320000
"1 Smailes Elbow, Brookdale",2013,385,228750
"1 Smitherson Street, Noranda",1989,685,585000
