"address","suburb","latitude","longitude","land_area","price"
"1 Acorn Place, South Lake","South Lake",-32.1159,115.84245,600,565000
"1 Addis Way, Wandi","Wandi",-32.19347028,115.85955349999999,351,365000
"1 Ainsley Court, Camillo","Camillo",-32.12057813,115.993579,719,287000
"1 Albert Street, Bellevue","Bellevue",-31.90054675,116.0380088,651,255000
"1 Aman Place, Lockridge","Lockridge",-31.885790000000004,115.94778000000001,466,325000
"1 Amethyst Crescent, Mount Richon","Mount Richon",-32.1538014,116.0236578,759,409000
"1 Ardara Lane, Hilbert","Hilbert",-32.17997786,115.9886473,386,400000
"1 Arnside Bend, Waikiki","Waikiki",-32.31766224,115.7619682,468,370000
"1 Arrochar Court, Hamersley","Hamersley",-31.84775987,115.82270049999998,875,565000
"1 Arundel Street, Bayswater","Bayswater",-31.91788,115.90705,552,685000
"1 Ashcott Gate, Butler","Butler",-31.65428,115.7022,398,367500
"1 Ashcroft Way, Balga","Balga",-31.84964681,115.84631399999999,243,300000
"1 Ashendon Boulevard, Hammond Park","Hammond Park",-32.15959,115.84948,704,535000
"1 Ashtree Boulevard, Wattle Grove","Wattle Grove",-32.00294817,115.9836459,614,540000
"1 August Court, Bull Creek","Bull Creek",-32.06458,115.86046,706,685000
"1 Avonlea Place, Bullsbrook","Bullsbrook",-31.66068818,116.0407159,663,350000
"1 Babbler Court, Maida Vale","Maida Vale",-31.95242,116.0207,568,570000
"1 Balga Place, Koongamia","Koongamia",-31.904090000000004,116.04213,751,318000
"1 Bamlett Street, Mount Nasura","Mount Nasura",-32.13247,116.0242,785,379000
"1 Banken Court, Forrestdale","Forrestdale",-32.14885,115.94308000000001,782,387500
"1 Barcroft Court, Atwell","Atwell",-32.137679999999996,115.86697,450,465000
"1 Bates Loop, Lockridge","Lockridge",-31.88355668,115.95423190000001,421,325000
"1 Batoni Way, Ashby","Ashby",-31.7328966,115.7996371,388,515000
"1 Bayley Street, Woodbridge","Woodbridge",-31.88948,115.99427,550,610000
"1 Beach Street, Bicton","Bicton",-32.02366,115.78188999999999,855,1950000
"1 Beacon Way, Singleton","Singleton",-32.434584,115.758448,600,420000
"1 Belfry Way, Wattle Grove","Wattle Grove",-32.00415385,115.9949594,459,492000
"1 Bell Court, Armadale","Armadale",-32.164115,116.00839270000002,711,201000
"1 Bellata Place, Kenwick","Kenwick",-32.03406,115.99136999999999,570,275000
"1 Bellier Place, Hamilton Hill","Hamilton Hill",-32.08948,115.78811,808,410000
"1 Belmont Close, Port Kennedy","Port Kennedy",-32.362590000000004,115.7517,550,315000
