"address","year_sold","bedrooms","land_area","price"
"1 Acorn Place, South Lake",2018,4,600,565000
"1 Addis Way, Wandi",2019,3,351,365000
"1 Ainsley Court, Camillo",2015,3,719,287000
"1 Albert Street, Bellevue",2018,2,651,255000
"1 Aman Place, Lockridge",2016,4,466,325000
"1 Amethyst Crescent, Mount Richon",2013,4,759,409000
"1 Ardara Lane, Hilbert",2016,3,386,400000
"1 Arnside Bend, Waikiki",2019,4,468,370000
"1 Arrochar Court, Hamersley",2020,4,875,565000
"1 Arundel Street, Bayswater",2019,3,552,685000
"1 Ashcott Gate, Butler",2018,3,398,367500
"1 Ashcroft Way, Balga",2019,3,243,300000
"1 Ashendon Boulevard, Hammond Park",2019,4,704,535000
"1 Ashtree Boulevard, Wattle Grove",2018,4,614,540000
"1 August Court, Bull Creek",2017,3,706,685000
"1 Avonlea Place, Bullsbrook",2017,4,663,350000
"1 Babbler Court, Maida Vale",2020,4,568,570000
"1 Balga Place, Koongamia",2013,2,751,318000
"1 Bamlett Street, Mount Nasura",2017,3,785,379000
"1 Banken Court, Forrestdale",2017,4,782,387500
"1 Barcroft Court, Atwell",2017,4,450,465000
"1 Bates Loop, Lockridge",2014,3,421,325000
"1 Batoni Way, Ashby",2014,3,388,515000
"1 Bayley Street, Woodbridge",2013,3,550,610000
"1 Beach Street, Bicton",2018,5,855,1950000
"1 Beacon Way, Singleton",2015,4,600,420000
"1 Belfry Way, Wattle Grove",2017,4,459,492000
"1 Bell Court, Armadale",2019,3,711,201000
"1 Bellata Place, Kenwick",2018,3,570,275000
"1 Bellier Place, Hamilton Hill",2019,4,808,410000
"1 Belmont Close, Port Kennedy",2020,4,550,315000
"1 Benowa Drive, Glen Forrest",2015,4,2028,600000
"1 Bianco Place, Secret Harbour",2019,4,672,400000
"1 Bignell Place, Herne Hill",2013,3,797,350000
"1 Bindoon Close, Gwelup",2016,4,480,835000
"1 Binnia Mews, Harrisdale",2020,4,469,482000
"1 Binns Court, North Fremantle",2016,3,354,1260000
"1 Bishops Close, Quinns Rocks",2019,3,781,405000
"1 Bittern Close, Maida Vale",2019,3,620,465000
"1 Blato Place, Spearwood",2018,5,592,560000
"1 Bohemia Way, Parkwood",2016,3,979,380000
"1 Boncath Road, Butler",2020,3,397,360000
"1 Bonita Way, Tapping",2018,4,641,540000
"1 Boronia Court, Thornlie",2020,3,680,420000
"1 Borough Road, Baldivis",2020,4,495,330000
