ADDRESS,SUBURB,PRICE,BEDROOMS,LAND_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN_DIST,DATE_SOLD,LATITUDE,LONGITUDE,NEAREST_SCH_DIST,YEAR_SOLD
"1 Acorn Place, South Lake",South Lake,565000,4,600,2003.0,18300,1800,"09-2018",-32.1159,115.84245,0.8283385518162787,2018
"1 Addis Way, Wandi",Wandi,365000,3,351,2013.0,26900,4900,"02-2019",-32.19347028,115.85955349999999,5.524324354371822,2019
"1 Ainsley Court, Camillo",Camillo,287000,3,719,1979.0,22600,1900,"06-2015",-32.12057813,115.993579,1.6491781833669859,2015
"1 Albert Street, Bellevue",Bellevue,255000,2,651,1953.0,17900,3600,"07-2018",-31.90054675,116.0380088,1.5714009366124688,2018
"1 Aman Place, Lockridge",Lockridge,325000,4,466,1998.0,11200,2000,"11-2016",-31.885790000000004,115.94778000000001,1.5149216294528034,2016
"1 Amethyst Crescent, Mount Richon",Mount Richon,409000,4,759,1991.0,27300,1000,"03-2013",-32.1538014,116.0236578,1.2272191943992041,2013
"1 Ardara Lane, Hilbert",Hilbert,400000,3,386,2014.0,28200,3700,"05-2016",-32.17997786,115.9886473,2.485730857063224,2016
"1 Arnside Bend, Waikiki",Waikiki,370000,4,468,2013.0,41700,1100,"03-2019",-32.31766224,115.7619682,0.4915731383363828,2019
"1 Arrochar Court, Hamersley",Hamersley,565000,4,875,1983.0,12100,2500,"06-2020",-31.84775987,115.82270049999998,1.2219275931111655,2020
"1 Arundel Street, Bayswater",Bayswater,685000,3,552,1999.0,5900,508,"10-2019",-31.91788,115.90705,0.936243264888652,2019
"1 Ashcott Gate, Butler",Butler,367500,3,398,2003.0,36300,2100,"11-2018",-31.65428,115.7022,0.6808433268155856,2018
"1 Ashcroft Way, Balga",Balga,300000,3,243,2008.0,11500,4800,"12-2019",-31.84964681,115.84631399999999,0.18935031371595692,2019
"1 Ashendon Boulevard, Hammond Park",Hammond Park,535000,4,704,2002.0,23100,3900,"07-2019",-32.15959,115.84948,2.2206426655498723,2019
"1 Ashtree Boulevard, Wattle Grove",Wattle Grove,540000,4,614,2004.0,13100,5100,"05-2018",-32.00294817,115.9836459,3.2343986089606025,2018
