"address","suburb","land_area","price"
"1 Acorn Place, South Lake","South Lake",600,565000
"1 Addis Way, Wandi","Wandi",351,365000
"1 Ainsley Court, Camillo","Camillo",719,287000
"1 Albert Street, Bellevue","Bellevue",651,255000
"1 Aman Place, Lockridge","Lockridge",466,325000
"1 Amethyst Crescent, Mount Richon","Mount Richon",759,409000
"1 Ardara Lane, Hilbert","Hilbert",386,400000
"1 Arnside Bend, Waikiki","Waikiki",468,370000
"1 Arrochar Court, Hamersley","Hamersley",875,565000
"1 Arundel Street, Bayswater","Bayswater",552,685000
"1 Ashcott Gate, Butler","Butler",398,367500
"1 Ashcroft Way, Balga","Balga",243,300000
"1 Ashendon Boulevard, Hammond Park","Hammond Park",704,535000
"1 Ashtree Boulevard, Wattle Grove","Wattle Grove",614,540000
"1 August Court, Bull Creek","Bull Creek",706,685000
"1 Avonlea Place, Bullsbrook","Bullsbrook",663,350000
"1 Babbler Court, Maida Vale","Maida Vale",568,570000
"1 Balga Place, Koongamia","Koongamia",751,318000
"1 Bamlett Street, Mount Nasura","Mount Nasura",785,379000
"1 Banken Court, Forrestdale","Forrestdale",782,387500
"1 Barcroft Court, Atwell","Atwell",450,465000
"1 Bates Loop, Lockridge","Lockridge",421,325000
"1 Batoni Way, Ashby","Ashby",388,515000
"1 Bayley Street, Woodbridge","Woodbridge",550,610000
"1 Beach Street, Bicton","Bicton",855,1950000
"1 Beacon Way, Singleton","Singleton",600,420000
"1 Belfry Way, Wattle Grove","Wattle Grove",459,492000
"1 Bell Court, Armadale","Armadale",711,201000
"1 Bellata Place, Kenwick","Kenwick",570,275000
"1 Bellier Place, Hamilton Hill","Hamilton Hill",808,410000
"1 Belmont Close, Port Kennedy","Port Kennedy",550,315000
"1 Benowa Drive, Glen Forrest","Glen Forrest",2028,600000
"1 Bianco Place, Secret Harbour","Secret Harbour",672,400000
"1 Bignell Place, Herne Hill","Herne Hill",797,350000
"1 Bindoon Close, Gwelup","Gwelup",480,835000
"1 Binnia Mews, Harrisdale","Harrisdale",469,482000
"1 Binns Court, North Fremantle","North Fremantle",354,1260000
"1 Bishops Close, Quinns Rocks","Quinns Rocks",781,405000
"1 Bittern Close, Maida Vale","Maida Vale",620,465000
"1 Blato Place, Spearwood","Spearwood",592,560000
"1 Bohemia Way, Parkwood","Parkwood",979,380000
"1 Boncath Road, Butler","Butler",397,360000
"1 Bonita Way, Tapping","Tapping",641,540000
"1 Boronia Court, Thornlie","Thornlie",680,420000
"1 Borough Road, Baldivis","Baldivis",495,330000
"1 Bourke Street, Kensington","Kensington",774,705000
"1 Bowood Cove, Kiara","Kiara",818,615000
"1 Bradbury Road, Hamilton Hill","Hamilton Hill",775,565000
"1 Bradford Street, Menora","Menora",917,850000
